List,Field,DisplayName,Type,Required,Indexed,Unique,LookupList,LookupField,Choices,Canvas,Flow,Provisioning,Action,Target,Reason
BLC_RoleEntitlements,TaskTitleOverride_Joiner,Task Title Override Joiner,Text,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_RoleEntitlements,TaskTitleOverride_Leaver,Task Title Override Leaver,Text,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_RoleEntitlements,TaskTitleOverride_Mover,Task Title Override Mover,Text,False,False,False,,,None,False,False,True,REVIEW,,"Im Provisioning vorhanden, aber nicht in Canvas/Flows gefunden"
BLC_RoleEntitlements,Title,Titel,Text,True,False,False,,,None,True,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_RoleProfiles,Active,Active,Boolean,False,False,False,,,None,True,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_RoleProfiles,BusinessOwner,Business Owner,User,False,False,False,,,None,False,False,True,REVIEW,,"Im Provisioning vorhanden, aber nicht in Canvas/Flows gefunden"
BLC_RoleProfiles,Department,Department,Text,False,False,False,,,None,True,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_RoleProfiles,Description,Description,Note,False,False,False,,,None,True,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_RoleProfiles,EmploymentType,Employment Type,Choice,False,False,False,,,Employee | Worker | Apprentice | External | Temporary | ServiceAccount | Other,False,False,True,REVIEW,,"Im Provisioning vorhanden, aber nicht in Canvas/Flows gefunden"
BLC_RoleProfiles,HRResponsible,HR Responsible,User,False,False,False,,,None,False,False,True,REVIEW,,"Im Provisioning vorhanden, aber nicht in Canvas/Flows gefunden"
BLC_RoleProfiles,ITOwner,IT Owner,User,False,False,False,,,None,False,False,True,REVIEW,,"Im Provisioning vorhanden, aber nicht in Canvas/Flows gefunden"
BLC_RoleProfiles,Location,Location,Text,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_RoleProfiles,ReviewCycleMonths,Review Cycle Months,Number,False,False,False,,,None,False,False,True,REVIEW,,"Im Provisioning vorhanden, aber nicht in Canvas/Flows gefunden"
BLC_RoleProfiles,RiskLevel,Risk Level,Choice,False,False,False,,,Low | Medium | High | Critical,False,False,True,REVIEW,,"Im Provisioning vorhanden, aber nicht in Canvas/Flows gefunden"
BLC_RoleProfiles,RoleName,Role Name,Text,False,False,False,,,None,False,False,True,REVIEW,,"Im Provisioning vorhanden, aber nicht in Canvas/Flows gefunden"
BLC_RoleProfiles,RoleProfileID,Role Profile ID,Text,False,False,False,,,None,True,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_RoleProfiles,Title,Titel,Text,True,False,False,,,None,True,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_RoleProfiles,ValidFrom,Valid From,DateTime,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
BLC_RoleProfiles,ValidTo,Valid To,DateTime,False,False,False,,,None,False,True,True,KEEP,,Aktuell durch Canvas oder Flow referenziert
